word,sentiment
mendorong,positive
mendukung,positive
menegakkan,positive
meneladani,positive
menenangkan,positive
menengahi,positive
menentramkan,positive
menepati,positive
menerima,positive
menertibkan,positive
menetapkan,positive
mengagumi,positive
mengagumkan,positive
mengakrabkan,positive
mengakurkan,positive
mengamankan,positive
mengandalkan,positive
menganjurkan,positive
mengantisipasi,positive
menganugerahi,positive
menganugrahi,positive
menganugrahkan,positive
mengasah,positive
mengedukasi,positive
mengedukasikan,positive
mengefektifkan,positive
mengerti,positive
menggalakkan,positive
menggapai,positive
menggenjotkan,positive
menggiatkan,positive
menggugah,positive
menghadiahkan,positive
menghadiri,positive
menghargai,positive
mengharmoniskan,positive
mengharu biru,positive
mengharukan,positive
mengharumkan,positive
menghayati,positive
menghemat,positive
menghentikan,positive
menghibur,positive
menghijaukan,positive
menghormati,positive
mengilhami,positive
mengimbangi,positive
mengingatkan,positive
menginovasikan,positive
menginsafi,positive
menginsafkan,positive
menginspirasi,positive
menginspirasikan,positive
mengisi,positive
mengokohkan,positive
mengoptimalkan,positive
mengukuhkan,positive
mengulurkan tangan,positive
mengungguli,positive
mengungkap,positive
mengungkap kasus,positive
menguntungkan,positive
mengupayakan,positive
mengusahakan,positive
menimba ilmu,positive
menindak,positive
menindaklanjuti,positive
meningkat,positive
meningkatkan,positive
menjadi sama,positive
menjaga,positive
menjaring,positive
menjawab,positive
menjembatani,positive
menjernihkan,positive
menjinakkan,positive
menjiwai,positive
menolong,positive
menstabilkan,positive
mensucikan,positive
mensyukuri,positive
mentaati,positive
menunaikan,positive
menunjang,positive
menuntun,positive
menyadari,positive
menyadarkan,positive
menyayangi,positive
menyeimbangkan,positive
menyelamatkan,positive
menyelaraskan,positive
menyelesaikan,positive
menyesuaikan,positive
menyetujui,positive
menyinergikan,positive
menyingkronkan,positive
menyingsingkan,positive
menyinkronkan,positive
menyucikan,positive
menyukai,positive
menyukseskan,positive
merahmati,positive
meraih,positive
merampungkan,positive
merangkul,positive
merapihkan,positive
merapikan,positive
merawat,positive
merdu,positive
meremajakan,positive
merenungi,positive
merenungkan,positive
merestui,positive
meriah,positive
meridai,positive
meridhai,positive
meridhoi,positive
meridoi,positive
meringankan,positive
merohmati,positive
merukunkan,positive
momentum,positive
motivasi,positive
mudah,positive
mudah-mudahan,positive
mufakat,positive
mujarab,positive
mujur,positive
mulia,positive
multi fungsi,positive
multi guna,positive
multifungsi,positive
multiguna,positive
mulus,positive
mumpuni,positive
murah,positive
murni,positive
mustajab,positive
musyawarah,positive
mutakhir,positive
naik,positive
ngetop,positive
ngetren,positive
nikmat,positive
nilai tambah,positive
nomor wahid,positive
normal,positive
nyaman,positive
objektif,positive
obyektif,positive
ok,positive
optimal,positive
optimis,positive
optimisme,positive
optimistis,positive
orisinal,positive
orisinalitas,positive
orisinil,positive
pahlawan,positive
pakar,positive
pandai,positive
pantas,positive
panutan,positive
patroli,positive
patuh,positive
peduli,positive
pegangan,positive
pejuang,positive
pekerti,positive
pelancaran,positive
pelayanan,positive
peleraian,positive
pelestarian,positive
pelipur,positive
pemaaf,positive
pemantapan,positive
pembangunan negara,positive
pembangunan umat,positive
pembaruan,positive
pembenahan,positive
pemberdayaan,positive
pembulatan tekad,positive
pemeriksaan,positive
pemersatu,positive
pemersatuan,positive
pencari ilmu,positive
pencarian,positive
pencerahan,positive
pendidik,positive
pendonasian,positive
pendonor,positive
penegakan,positive
penemu,positive
penengah,positive
penerang,positive
pengampunan,positive
pengantisipasian,positive
penganugerahan,positive
pengembangan,positive
pengertian,positive
penggalakan,positive
penggiatan,positive
penggugah,positive
penghargaan,positive
penghijauan,positive
pengoptimalan,positive
peningkatan,positive
penjelasan,positive
penjernihan,positive
penolong,positive
penstabilan,positive
penting,positive
penuntun,positive
penurut,positive
penyabar,positive
penyantun,positive
penyantunan,positive
penyatuan,positive
penyayang,positive
penyuksesan,positive
peran kunci,positive
perbaikan,positive
percaya,positive
perdamaian,positive
perhatian,positive
perkembangan,positive
persahabatan,positive
persaudaraan,positive
pertaubatan,positive
pertobatan,positive
pertolongan,positive
pertumbuhan,positive
perundingan,positive
petunjuk,positive
pintar,positive
populer,positive
positif,positive
potensi,positive
potensial,positive
praktis,positive
preseden,positive
presisi,positive
prestasi,positive
prestise,positive
prestisius,positive
prima,positive
primadona,positive
prioritas,positive
proaktif,positive
produktif,positive
profesional,positive
profit,positive
proporsional,positive
prospektif,positive
proteksi,positive
puas,positive
pulih,positive
rahman,positive
rahmat,positive
rajin,positive
ramah,positive
ramah tamah,positive
rampung,positive
rapi,positive
rapih,positive
rasional,positive
rasul,positive
realistis,positive
reformasi,positive
rekonsiliasi,positive
relawan,positive
relevan,positive
relevansi,positive
relevansinya,positive
reliabel,positive
renungan,positive
resmi,positive
responsif,positive
revolusioner,positive
rezeki,positive
riang,positive
rida,positive
ridha,positive
ridho,positive
rido,positive
rileks,positive
riset,positive
rohmat,positive
rukun,positive
rupawan,positive
sabar,positive
sadar,positive
sakinah,positive
saksama,positive
saleh,positive
salehah,positive
saling tegur,positive
salut,positive
sanggup,positive
santun,positive
satu padu,positive
sayang,positive
sebaik-baiknya,positive
sebesar mungkin,positive
secepatnya,positive
seefektif,positive
seimbang,positive
sejalan,positive
selamat,positive
selaras,positive
selesai,positive
selesaikan,positive
semangat,positive
semoga,positive
senang,positive
serius,positive
sesuai,positive
setuju,positive
shaleh,positive
shalehah,positive
shalihah,positive
sholeh,positive
siap,positive
silahkan,positive
silaturahmi,positive
simpati,positive
sistematik,positive
sistematis,positive
siuman,positive
sobat,positive
sohib,positive
solid,positive
solidaritas,positive
solider,positive
solusi,positive
sopan,positive
sopan santun,positive
sorga,positive
spektakuler,positive
spesial,positive
sportif,positive
sportivitas,positive
stabil,positive
steril,positive
strategis,positive
subsidi,positive
suci,positive
sudah berupaya,positive
sudah berusaha,positive
sudah dilakukan,positive
sukaria,positive
sukses,positive
syukuran,positive
taat,positive
tahu,positive
tak ada banding,positive
tak ada bandingan,positive
tak ada tandingan,positive
talenta,positive
tampan,positive
tangguh,positive
taubat,positive
tauladan,positive
tawaduk,positive
tawakal,positive
tegar,positive
tegas,positive
teguh,positive
tekad,positive
tekun,positive
teladan,positive
telah berjalan,positive
tenteram,positive
tentram,positive
tepa salira,positive
tepat guna,positive
tepat sasaran,positive
tepati,positive
terahmati,positive
terawat,positive
terbaik,positive
terbantu,positive
terbarukan,positive
terbiasa,positive
terbrilian,positive
tercakap,positive
tercakep,positive
tercanggih,positive
tercangging,positive
tercantik,positive
tercerdas,positive
terdongkrak,positive
teredukasi,positive
terfavorit,positive
terfenomenal,positive
tergapai,positive
terharu,positive
terhebat,positive
terhibur,positive
terhormat,positive
terima kasih,positive
terindah,positive
terinformasi,positive
terinspirasi,positive
teristimewa,positive
terjangkau,positive
terkagum-kagum,positive
terkasih,positive
terkenal,positive
terkendali,positive
terkirim,positive
terlezat,positive
terlincah,positive
termasyhur,positive
termotivasi,positive
ternama,positive
terohmati,positive
terpana,positive
terpandai,positive
terpandang,positive
terpilih,positive
terpintar,positive
terpuji,positive
terpukau,positive
tersabar,positive
tersadar,positive
tersadarkan,positive
tersantun,positive
tersantuni,positive
tersayang,positive
tersipu,positive
tersipu-sipu,positive
tersohor,positive
tersopan,positive
terspektakuler,positive
terstruktur,positive
tersuci,positive
tersucikan,positive
tersukses,positive
tertaat,positive
tertampan,positive
tertib,positive
tertolong,positive
teruji,positive
terungkap,positive
terurus,positive
terus terang,positive
tetap di sini,positive
tiada banding,positive
tiada bandingan,positive
tiada tandingan,positive
tidak ada banding,positive
tidak ada bandingan,positive
tidak ada tandingan,positive
toleran,positive
toleransi,positive
tolong-menolong,positive
trofi,positive
tropi,positive
tulus,positive
tuntas,positive
tuntun,positive
tuntunan,positive
ukhuwah,positive
ulet,positive
unggul,positive
unggulan,positive
unik,positive
usulan bersama,positive
usulan masyarakat,positive
valid,positive
visibel,positive
wah,positive
wajar,positive
wajar-wajar,positive
wajib,positive
wibawa,positive
yahud,positive
yakin,positive
accord,positive
asyik,positive
asyiknya,positive
bantuan,positive
bimbingan,positive
aduhai,positive
boleh juga,positive
luar biasa,positive
sabar,positive
keren,positive
cakep,positive
senang,positive
maaf,positive
minta maaf,positive
sehat,positive
suka,positive
cinta,positive
dimaafkan,positive
dikejar,positive
tidak apa-apa,positive
cepat sembuh,positive
jago,positive
imut,positive
jujur,positive
adil,positive
lucu,positive
terima kasih,positive
sehat,positive
manis,positive
mantap,positive
lebih baik,positive
mengaku,positive
profesional,positive
nyaman,positive
rezeki,positive
setuju,positive
sumbangan,positive
amal,positive
menggemaskan,positive
temu,positive
didik,positive
terima,positive
kebal,positive
vaksinasi,positive
akses,positive
jamin,positive
boleh juga,positive
inkonsisten,negative
porno,negative
teroris,negative
sesat,negative
tuntut,negative
leceh,negative
hina,negative
kasar,negative
kalah,negative
nista,negative
pelecehan,negative
palsu,negative
memelintir,negative
plintiran,negative
porno,negative
